timestamp_end,operator_id,game_name,fund_type,no_of_bets,stake_real_money,stake_free_money,payout_base_win,refund_total,adjustment_total,GGR,game_variant,total_transactions,movement_wager_amt,movement_win_amt,movement_refund_amt,movement_adjustment_amt,transaction_types,transaction_classes,game_id,game_category,game_type,operator,brand_id,currency_code,revenue_amt,bets_won_cnt,bets_refunded_cnt,bets_adjusted_cnt,forfeit_amt,network_adjust_amt,tax_player_income_amt,slip_issued_cnt,slip_unclaimed_cnt,slip_unclaimed_amt,slips_expired_cnt,slips_expired_amt,period_type,period_start,fip_period_type,fip_period_start,report_date_time,status_date_time,seq_number,last_report,partition_id,report_id,source_type,source_file,total_stake,total_payout,total_bets,date,exclusion_reason,is_zero_stake,is_missing_operator,is_zero_payout,is_zero_bets,stake_to_payout_ratio,avg_stake_per_bet
2024-12-31,UG-OP-RUB-27321,Betting,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CTG_football,6,149024624.42000002,8624668.0,0.0,0.0,RRI_wager|RRI_exchangeWin,RRI_online,bet,RRI_betExchange,RRI_sports,RUB,UG-SI-BAN-64328,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,RRI_day,2024-12-31,,,2025-01-01T00:55:14.307Z,,1.0,true,1,8460ba4b-cdc5-4e46-b649-5549ace53d2a,gameSummary,UG-OP-RUB-27321_NLGRB-BM-12-663_20241231_001.zip,0.0,0.0,0.0,2024-12-31,Missing from anomaly detection; Zero stake entry,1,1,1,1,,
2025-04-16,UG-OP-EDG-93556,aero,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RRI_none,54,1665184.0,1545844.0,0.0,0.0,RRI_wager|RRI_jackpotContrib|RRI_bonusWin|RRI_baseGameWin|RRI_jackpotWin,RRI_online,ABC_aero_v1.0,RRI_casinoGame,RRI_other,EDG,UG-SI-BET-38382,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,RRI_day,2025-04-16,,,2025-04-17T00:00:00.000Z,,1.0,true,1,e374db15-2679-49a1-b7c1-f369a526b1d1,gameSummary,UG-OP-EDG-93556_NLGRB-BM-46-349_20250416_001.zip,0.0,0.0,0.0,2025-04-16,Missing from anomaly detection; Zero stake entry,1,1,1,1,,
2025-04-16,UG-OP-KEF-84210,DG,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RRI_none,3,18790000.0,21881600.0,0.0,0.0,RRI_wager|RRI_baseGameWin|RRI_jackpotContrib,RRI_online,4,RRI_casinoGame,CTG_cardGames,KEF,UG-SI-KEF-85539,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,RRI_day,2025-04-16,,,2025-04-17T09:30:41+08:00,,1.0,1,1,72d32c65-e7c0-4991-b401-5af780679f9b,gameSummary,UG-OP-KEF-84210_NLGRB-CS-08-016_20250416_002.zip,0.0,0.0,0.0,2025-04-16,Missing from anomaly detection; Zero stake entry,1,1,1,1,,
2025-04-16,UG-OP-KEF-84210,DG,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RRI_none,3,18790000.0,21881600.0,0.0,0.0,RRI_wager|RRI_baseGameWin|RRI_jackpotContrib,RRI_online,4,RRI_casinoGame,CTG_cardGames,KEF,UG-SI-KEF-85539,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,RRI_day,2025-04-16,,,2025-04-17T09:30:32+08:00,,1.0,1,1,3d1a9d9d-9e7a-47a2-ab44-8ca80c73da28,gameSummary,UG-OP-KEF-84210_NLGRB-CS-08-016_20250416_001.zip,0.0,0.0,0.0,2025-04-16,Missing from anomaly detection; Zero stake entry,1,1,1,1,,
2025-04-16,UG-OP-KEF-84210,DG,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RRI_none,3,18790000.0,21881600.0,0.0,0.0,RRI_wager|RRI_baseGameWin|RRI_jackpotContrib,RRI_online,4,RRI_casinoGame,CTG_cardGames,KEF,UG-SI-KEF-85539,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,RRI_day,2025-04-16,,,2025-04-17T16:02:58+08:00,,1.0,1,1,904446f8-3003-4b39-80d5-c4723b3f07e9,gameSummary,UG-OP-KEF-84210_NLGRB-CS-08-016_20250416_005.zip,0.0,0.0,0.0,2025-04-16,Missing from anomaly detection; Zero stake entry,1,1,1,1,,
2025-04-16,UG-OP-KEF-84210,DG,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RRI_none,3,18790000.0,21881600.0,0.0,0.0,RRI_wager|RRI_baseGameWin|RRI_jackpotContrib,RRI_online,4,RRI_casinoGame,CTG_cardGames,KEF,UG-SI-KEF-85539,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,RRI_day,2025-04-16,,,2025-04-17T09:50:41+08:00,,1.0,1,1,4aab2d54-f413-4828-a896-81d35e0fdf16,gameSummary,UG-OP-KEF-84210_NLGRB-CS-08-016_20250416_004.zip,0.0,0.0,0.0,2025-04-16,Missing from anomaly detection; Zero stake entry,1,1,1,1,,
2025-04-16,UG-OP-RUB-27321,Betting,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CTG_football,6,75704074.46,13327497.94,0.0,0.0,RRI_wager|RRI_exchangeWin,RRI_online,bet,RRI_betExchange,RRI_sports,RUB,UG-SI-BAN-64328,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,RRI_day,2025-04-16,,,2025-04-17T00:59:01.261Z,,1.0,true,1,57b4cf82-3c72-41ae-9ae5-720777e60435,gameSummary,UG-OP-RUB-27321_NLGRB-BM-12-663_20250416_001.zip,0.0,0.0,0.0,2025-04-16,Missing from anomaly detection; Zero stake entry,1,1,1,1,,
2025-04-17,UG-OP-EDG-93556,Ultimate Roulette,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RRI_none,124,2066734.0,1516678.0,0.0,0.0,RRI_wager|RRI_jackpotContrib|RRI_bonusWin|RRI_baseGameWin|RRI_jackpotWin,RRI_online,ABC_54_v1.0,RRI_casinoGame,RRI_other,EDG,UG-SI-BET-38382,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,RRI_day,2025-04-17,,,2025-04-18T00:00:00.000Z,,1.0,true,1,107aaf3f-e9a7-4639-8694-475227700f2d,gameSummary,UG-OP-EDG-93556_NLGRB-BM-46-349_20250417_001.zip,0.0,0.0,0.0,2025-04-17,Missing from anomaly detection; Zero stake entry,1,1,1,1,,
2025-04-17,UG-OP-KEF-84210,WM,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RRI_none,15,32972000.0,38846500.0,0.0,0.0,RRI_wager|RRI_baseGameWin|RRI_jackpotContrib,RRI_online,2,RRI_casinoGame,CTG_cardGames,KEF,UG-SI-KEF-85539,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,RRI_day,2025-04-17,,,2025-04-18T09:30:28+08:00,,1.0,1,1,923a818a-d5c7-4f7f-876a-7ccf0cf36b9d,gameSummary,UG-OP-KEF-84210_NLGRB-CS-08-016_20250417_001.zip,0.0,0.0,0.0,2025-04-17,Missing from anomaly detection; Zero stake entry,1,1,1,1,,
2025-04-17,UG-OP-KEF-84210,WM,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RRI_none,15,32972000.0,38846500.0,0.0,0.0,RRI_wager|RRI_baseGameWin|RRI_jackpotContrib,RRI_online,2,RRI_casinoGame,CTG_cardGames,KEF,UG-SI-KEF-85539,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,RRI_day,2025-04-17,,,2025-04-18T09:30:46+08:00,,1.0,1,1,bd5ebf1a-9b6d-4a70-9930-e129b4fbd4c3,gameSummary,UG-OP-KEF-84210_NLGRB-CS-08-016_20250417_002.zip,0.0,0.0,0.0,2025-04-17,Missing from anomaly detection; Zero stake entry,1,1,1,1,,
2025-04-17,UG-OP-RUB-27321,Betting,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CTG_football,6,49199002.44,9951758.36,0.0,0.0,RRI_wager|RRI_exchangeWin,RRI_online,bet,RRI_betExchange,RRI_sports,RUB,UG-SI-BAN-64328,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,RRI_day,2025-04-17,,,2025-04-18T00:55:01.258Z,,1.0,true,1,9e43b56f-d88b-44a5-b204-9bed5c15ddd8,gameSummary,UG-OP-RUB-27321_NLGRB-BM-12-663_20250417_001.zip,0.0,0.0,0.0,2025-04-17,Missing from anomaly detection; Zero stake entry,1,1,1,1,,
