operator,tier,stake_real_money,expected_stake_regression,regression_r2,deviation_pct,anomaly_score_if,stake_z_score,anomaly_flagged_by
OP_0005,very_high,4793489.51,5084303.251601886,0.99718141510368,0.05719834699282758,-0.41121355093619805,-0.2274447383421987,none
OP_0005,very_high,1702685.0,3911262.4506428223,0.99718141510368,0.5646712483535435,-0.40644740417542147,-0.3340497618411994,none
OP_0005,very_high,1720099.03,2685821.213595884,0.99718141510368,0.35956309329426167,-0.3559560797940359,-0.3334491340527527,none
OP_0005,very_high,1860858.57,2246111.7133712047,0.99718141510368,0.17152002773405045,-0.3681562197268263,-0.32859419288100955,none
OP_0005,very_high,1914251.04,1295868.2749347244,0.99718141510368,0.4771956972991138,-0.3795473649470339,-0.32675263172739916,none
OP_0005,very_high,2036689.85,2022520.2115606833,0.99718141510368,0.007005931687764311,-0.3571328185319452,-0.3225295913587802,none
OP_0005,very_high,3268472.0,2575570.672871139,0.99718141510368,0.26902827184176764,-0.35988692134482275,-0.280044159290351,none
OP_0005,very_high,1749177.22,3266700.4819479305,0.99718141510368,0.4645431285585855,-0.4160569646445879,-0.33244619740042514,none
OP_0005,very_high,1447292.0,3151646.5532866614,0.99718141510368,0.5407822623730739,-0.4094086141951622,-0.3428585288396921,none
OP_0005,very_high,2403764.59,1671650.564559007,0.99718141510368,0.43795877018958773,-0.36242675592000995,-0.3098688063893712,none
OP_0005,very_high,12030291.99,1972931.9993505087,0.99718141510368,5.09767188831667,-0.3795242306341383,0.022160015352827682,none
OP_0005,very_high,21462686.91,2972338.1963862833,0.99718141510368,6.220809171746997,-0.42704130606223883,0.34749300837944097,none
OP_0005,very_high,10993001.87,2663136.3912694184,0.99718141510368,3.1278403562199992,-0.3756876038357532,-0.013617186751061243,none
OP_0005,very_high,12412053.67,2526679.1122214915,0.99718141510368,3.912398099926171,-0.3715441153675382,0.035327367974368265,none
OP_0005,very_high,9557367.71,3546707.994122995,0.99718141510368,1.694715134664837,-0.42428972316576297,-0.06313368411205673,none
OP_0005,very_high,35102035.15,5197008.506385472,0.99718141510368,5.754277024344054,-0.5640939094338836,0.8179281442581102,none
OP_0005,very_high,34925571.48,2769288.162635118,0.99718141510368,11.611750539808956,-0.5112134322301376,0.8118417309549699,none
OP_0005,very_high,12047367.91,3722729.501052296,0.99718141510368,2.23616526706939,-0.36676005014596025,0.022748981379950198,none
OP_0005,very_high,5117331.62,2137133.7861525584,0.99718141510368,1.3944835148634451,-0.35651061872352935,-0.21627509120507968,none
OP_0005,very_high,8278450.01,2746966.3481262643,0.99718141510368,2.0136699765713626,-0.3646774046090591,-0.10724486973401251,none
OP_0005,very_high,3192140.47,5256433.125648199,0.99718141510368,0.39271738197822875,-0.36034420603687484,-0.28267691219433994,none
OP_0005,very_high,1656848.93,3584380.111601701,0.99718141510368,0.5377585863069563,-0.3978475039807999,-0.33563069499424825,none
OP_0005,very_high,3154731.32,3415282.7246905835,0.99718141510368,0.07628984938990345,-0.4140405120524217,-0.28396719221752637,none
OP_0005,very_high,932704.75,1449376.5100575928,0.99718141510368,0.35647863510431954,-0.3684804613798819,-0.3606071718551431,none
OP_0005,very_high,2084891.02,2981237.8906898256,0.99718141510368,0.3006626453692432,-0.3547697310957407,-0.32086708347647824,none
OP_0005,very_high,2050533.08,2321314.6819528807,0.99718141510368,0.11665010524341184,-0.3553004106849065,-0.32205212413150086,none
OP_0005,very_high,1740187.01,1956502.4544519084,0.99718141510368,0.11056231693433098,-0.36719543662260373,-0.33275627898119486,none
OP_0005,very_high,5931788.93,2749530.577101471,0.99718141510368,1.1573824198941025,-0.3628140801829674,-0.18818362168943475,none
OP_0005,very_high,41800.0,1732882.183432823,0.99718141510368,0.9758783370273941,-0.4883603461101989,-0.3913353921297801,none
OP_0005,very_high,993471.52,3208840.070060011,0.99718141510368,0.6903954393771266,-0.40060781812055096,-0.3585112635170877,none
OP_0005,very_high,2610814.03,3428678.976399704,0.99718141510368,0.23853646026041958,-0.3562392052783339,-0.30272745845059296,none
OP_0005,very_high,15000.0,470455.3566851076,0.99718141510368,0.9681159970083196,-0.3884720358365421,-0.39225975166805876,none
OP_0005,very_high,1371398.55,2388817.898863977,0.99718141510368,0.425909128254531,-0.3573527778258701,-0.3454761719143329,none
OP_0005,very_high,5521752.45,4190132.376230723,0.99718141510368,0.3177990464747917,-0.3532194969937723,-0.20232620121668138,none
OP_0005,very_high,2483545.76,3573256.5622256408,0.99718141510368,0.30496293318129475,-0.35493333729276555,-0.3071170718571125,none
OP_0005,very_high,1274545.38,3729589.287181454,0.99718141510368,0.6582611966468815,-0.39680106173758795,-0.34881673726888607,none
OP_0005,very_high,2253646.53,3774979.08960977,0.99718141510368,0.40300423485710873,-0.42451546955187347,-0.3150465325322402,none
OP_0005,very_high,1105926.75,1870241.2619521786,0.99718141510368,0.4086716123214919,-0.3797548364091971,-0.35463256708127344,none
OP_0005,very_high,535500.64,2497412.087932879,0.99718141510368,0.7855777816614811,-0.38022577975198096,-0.3743071497552173,none
OP_0005,very_high,3993667.0,4083281.424146939,0.99718141510368,0.02194666858301615,-0.351469503902257,-0.2550314385678884,none
OP_0005,very_high,1483411.44,1430921.7419696115,0.99718141510368,0.036682437963475416,-0.3593125575688612,-0.34161273223964417,none
OP_0005,very_high,5307343.0,2810151.8706031246,0.99718141510368,0.888632089788414,-0.35837970944760755,-0.20972140346312104,none
OP_0005,very_high,6239018.55,5849573.8171472,0.99718141510368,0.06657659942869643,-0.40270074675423884,-0.17758695640254185,none
OP_0005,very_high,7950119.1,5354619.919715498,0.99718141510368,0.48472145907648406,-0.4068331703778696,-0.11856934019558768,none
OP_0005,very_high,7733210.0,2802956.5017479677,0.99718141510368,1.7589475595420225,-0.3620861351158174,-0.12605075793903694,none
OP_0005,very_high,2154310.0,2974972.2080731383,0.99718141510368,0.27585542004262065,-0.370865106664226,-0.31847275152496424,none
OP_0005,very_high,1615141.43,1845135.655333565,0.99718141510368,0.12464895178234828,-0.3545800109509722,-0.3370692295256944,none
OP_0005,very_high,927028.23,1987296.1546054804,0.99718141510368,0.5335228582556009,-0.37135245316951887,-0.36080296086283825,none
OP_0005,very_high,2100509.63,2647999.5046108505,0.99718141510368,0.2067560336236957,-0.36574764309926494,-0.32032838156871124,none
OP_0005,very_high,3698483.12,5565008.06164993,0.99718141510368,0.3354038163058001,-0.40094942951104057,-0.2652126339046087,none
