operator,tier,stake_real_money,predicted_stake,deviation_pct,anomaly_type,anomaly_score,stake_z_score
OP_0022,mid,2359054.5,281780.19828122907,7.371966924537258,isolation_forest,-0.6196618349530368,4.4265580343562325
OP_0022,mid,3129769.19,281780.19828122907,10.10712963185707,isolation_forest,-0.6869866384916045,6.068908926769934
OP_0022,mid,6774438.9,281780.19828122907,23.041571910737357,isolation_forest,-0.79275675329137,13.835500933432852
OP_0022,mid,3344858.59,281780.19828122907,10.87045296441194,isolation_forest,-0.605361340348857,6.527252685650056
OP_0022,mid,1723149.91,281780.19828122907,5.115227118550823,isolation_forest,-0.6524596433902178,3.0714800989966906
OP_0022,mid,3325500.0,281780.19828122907,10.801751933899217,isolation_forest,-0.6261778547134333,6.486000588116569
OP_0022,mid,2022817.0,281780.19828122907,6.178705289933608,isolation_forest,-0.5895802308239154,3.7100542939280436
OP_0022,mid,2215089.68,281780.19828122907,6.861055154022012,isolation_forest,-0.6723624167082167,4.119776869197466
OP_0022,mid,2285554.42,281780.19828122907,7.111125032706933,isolation_forest,-0.5704739601433879,4.269933379932585
OP_0022,mid,1703.55,281780.19828122907,0.9939543303241636,isolation_forest,-0.6539565382718234,-0.596828034053581
OP_0022,mid,10000.0,281780.19828122907,0.9645113458610759,isolation_forest,-0.6294533191889828,-0.5791487524229614
OP_0022,mid,2471715.55,281780.19828122907,7.771785828375061,isolation_forest,-0.5924507648568129,4.666632576088095
OP_0013,mid,9300.0,39903.06220720721,0.766935180269943,isolation_forest,-0.565377890556973,-0.24659928585964824
OP_0013,mid,25919.05,39903.06220720721,0.35044960044899626,isolation_forest,-0.5362549773453201,-0.11268308381694465
OP_0013,mid,22200.0,39903.06220720721,0.44365172064437997,isolation_forest,-0.5332362876664503,-0.14265116569929753
OP_0013,mid,161644.32,39903.06220720721,3.0509251936760924,isolation_forest,-0.5491263933100943,0.9809903018230588
OP_0013,mid,1186200.0,39903.06220720721,28.727041845569207,isolation_forest,-0.6100362234480832,9.236853630164905
OP_0013,mid,963902.68,39903.06220720721,23.156107994786975,isolation_forest,-0.5523696241210536,7.445583201429717
OP_0013,mid,30000.0,39903.06220720721,0.24817800087078373,isolation_forest,-0.5276523672690066,-0.07979881397443432
OP_0013,mid,1048015.18,39903.06220720721,25.264028924845515,isolation_forest,-0.5358817927083631,8.123361205847353
OP_0013,mid,500.0,39903.06220720721,0.9874696333478464,isolation_forest,-0.6112110279591608,-0.31750963139539135
OP_0013,mid,170000.0,39903.06220720721,3.2603246617322257,isolation_forest,-0.6212033968432114,1.0483203195487516
OP_0013,mid,1600.0,39903.06220720721,0.9599028267131084,isolation_forest,-0.7396995491661069,-0.30864583820342345
OP_0013,mid,400.0,39903.06220720721,0.9899757066782772,isolation_forest,-0.6517651842300815,-0.31831543077647934
OP_0013,mid,1000.0,39903.06220720721,0.9749392666956928,isolation_forest,-0.5294282217555398,-0.3134806344899514
OP_0013,mid,1902025.59,39903.06220720721,46.66615604895757,isolation_forest,-0.5910282894290133,15.004971804054358
OP_0013,mid,1580230.24,39903.06220720721,38.60172860404137,isolation_forest,-0.5818397991255408,12.411946865384426
OP_0013,mid,21000.0,39903.06220720721,0.47372460060954863,isolation_forest,-0.5299644057376223,-0.15232075827235342
OP_0013,mid,11500.0,39903.06220720721,0.711801567000467,isolation_forest,-0.5991945395984235,-0.22887169947571245
OP_0013,mid,2747033.32,39903.06220720721,67.8426694105656,isolation_forest,-0.672903326727498,21.81403886254003
OP_0013,mid,8279608.5,39903.06220720721,206.49306048257506,isolation_forest,-0.7354732813264895,66.39549542120778
OP_0013,mid,56400.0,39903.06220720721,0.4134253583629266,isolation_forest,-0.5987212997354936,0.13293222263279503
OP_0013,mid,3568450.36,39903.06220720721,88.42798278161905,isolation_forest,-0.6916385108793695,28.43301228701132
OP_0013,mid,5000.0,39903.06220720721,0.874696333478464,isolation_forest,-0.5466314076189595,-0.28124865924643183
OP_0013,mid,704.48,39903.06220720721,0.9823452146017816,isolation_forest,-0.5757185439736242,-0.3158619328209426
OP_0013,mid,2900.0,39903.06220720721,0.9273238734175091,isolation_forest,-0.5513327340519659,-0.2981704462492796
OP_0013,mid,5500.0,39903.06220720721,0.8621659668263103,isolation_forest,-0.5436196389345231,-0.2772196623409919
OP_0028,noise,4000.0,90806.8691588785,0.9559504689782722,isolation_forest,-0.7159280390253171,-0.7692000408870588
OP_0028,noise,513228.0,90806.8691588785,4.651863176804834,isolation_forest,-0.6805236893188008,3.743094921668595
OP_0028,noise,45000.0,90806.8691588785,0.5044427760055618,isolation_forest,-0.7293253016565373,-0.40589697533531816
OP_0028,noise,1065391.0,90806.8691588785,10.732493476192413,isolation_forest,-0.6972765816301628,8.635839082259956
OP_0028,noise,680813.0,90806.8691588785,6.4973733408739,isolation_forest,-0.6506388709878805,5.228074049485387
OP_0028,noise,172931.0,90806.8691588785,0.9043823622796044,isolation_forest,-0.5548906751304084,0.7277060607402852
OP_0028,noise,275450.0,90806.8691588785,2.0333608299837334,isolation_forest,-0.5780096480348005,1.6361320845768437
OP_0028,noise,430561.0,90806.8691588785,3.7415025315615407,isolation_forest,-0.5643592720646126,3.010578469962113
OP_0028,noise,610755.0,90806.8691588785,5.725867829793847,isolation_forest,-0.5864770455147192,4.607286582011634
OP_0028,noise,710111.0,90806.8691588785,6.820014130842546,isolation_forest,-0.5874189595046996,5.487685103498434
OP_0028,noise,847583.0,90806.8691588785,8.333908412997289,isolation_forest,-0.5797969820678357,6.70583142124304
OP_0028,noise,1130347.0,90806.8691588785,11.447813810454251,isolation_forest,-0.777711616261804,9.211417470698466
OP_0020,high,10003802.0,8467064.49484536,0.1814959016894445,isolation_forest,-0.7565303772861752,0.43365003370026894
OP_0020,high,9529381.0,8467064.49484536,0.12546455808874069,isolation_forest,-0.8278317466328192,0.29977376534081823
OP_0020,high,15480737.0,8467064.49484536,0.8283475943078588,isolation_forest,-0.5296172756707632,1.979179468205209
OP_0020,high,6734906.0,8467064.49484536,0.2045760364645712,isolation_forest,-0.5678448411155089,-0.48879563825593664
OP_0020,high,18704001.0,8467064.49484536,1.209030179395321,isolation_forest,-0.5318597736456963,2.888748303179539
OP_0020,high,20002130.0,8467064.49484536,1.3623452983235262,isolation_forest,-0.5731595492033335,3.255065701374782
OP_0020,high,21462715.0,8467064.49484536,1.534847232245157,isolation_forest,-0.5553429868895144,3.667226354933095
OP_0020,high,22231673.0,8467064.49484536,1.6256647759721632,isolation_forest,-0.5264714178759675,3.8842176507761255
OP_0020,high,15872871.0,8467064.49484536,0.8746604575485635,isolation_forest,-0.562792863081202,2.0898352709982237
OP_0020,high,10947962.0,8467064.49484536,0.2930056227474088,isolation_forest,-0.5786559011863724,0.7000813626976341
OP_0020,high,4331869.0,8467064.49484536,0.48838596863916817,isolation_forest,-0.5924555727493789,-1.1669056424287902
OP_0020,high,12754858.0,8467064.49484536,0.5064085088480185,isolation_forest,-0.5726017439940191,1.2099670840160792
