date,expected_GGR,was_interpolated,actual_GGR,is_missing,deviation,deviation_pct,day_of_week,is_weekend,is_anomaly,anomaly_score
2025-02-27,3240155136.0,0,3250420667.018,0,10265531.018000126,0.3168222071821232,Thursday,0,0,0.37587022859424
2025-02-28,1196125952.0,0,1213335038.5720005,0,17209086.572000504,1.438735322415319,Friday,0,0,0.3352145465256316
2025-03-01,12814740480.0,0,13231573953.987,0,416833473.9869995,3.2527656306232084,Saturday,1,1,0.6830083840261086
2025-03-02,12238897152.0,0,12221526286.327,0,-17370865.673000336,-0.14193162551547142,Sunday,1,1,0.5901058955751705
2025-03-03,5288767488.0,0,5354917531.910001,0,66150043.9100008,1.2507648343416984,Monday,0,0,0.42375989104185385
2025-03-04,6144983552.0,0,6232519993.724999,0,87536441.72499943,1.4245187311609493,Tuesday,0,0,0.45166343527534936
2025-03-05,10073478144.0,0,10092971189.693,0,19493045.693000793,0.19350859171329327,Wednesday,0,0,0.5217337597022601
2025-03-06,12589600768.0,0,12641701575.931,0,52100807.930999756,0.41384003266750574,Thursday,0,1,0.5668835118740315
2025-03-07,8605558784.0,0,8619651091.182001,0,14092307.182001114,0.16375818858157618,Friday,0,0,0.4865525530260268
2025-03-08,11477907456.0,0,11526538095.875,0,48630639.875,0.42368907452358534,Saturday,1,1,0.5882455222903183
2025-03-09,12985600000.0,0,13151236085.31,0,165636085.30999947,1.2755366352729136,Sunday,1,1,0.6197549207592609
2025-03-10,5987717120.0,0,5972340399.49,0,-15376720.510000229,-0.2568043914205524,Monday,0,0,0.439809220801426
2025-03-11,5196853248.0,0,5186517562.416,0,-10335685.583999634,-0.19888353760955835,Tuesday,0,0,0.41819137735859396
2025-03-12,8998964224.0,0,8982014560.442999,0,-16949663.557001114,-0.1883512717141025,Wednesday,0,0,0.5092009318596098
2025-03-13,7653532160.0,0,7687624673.889999,0,34092513.88999939,0.44544810392486006,Thursday,0,0,0.4560809766998025
2025-03-14,-2250717952.0,0,-2418283846.4009995,0,-167565894.40099955,7.444997461903194,Friday,0,0,0.43930096951312264
2025-03-15,-99868816.0,0,-125649380.03500074,0,-25780564.03500074,25.814428434798646,Saturday,1,0,0.4423451923025836
2025-03-16,2305562880.0,0,2302726980.5480003,0,-2835899.4519996643,-0.12300247703500779,Sunday,1,0,0.399361327627789
2025-03-17,-1336568448.0,0,-1384049858.94,0,-47481410.94000006,3.552486295112666,Monday,0,0,0.39598666519648434
2025-03-18,976915840.0,0,1012182370.802,0,35266530.802000046,3.609986588199864,Tuesday,0,0,0.33248423697651697
2025-03-19,1096531072.0,0,1091975033.039,0,-4556038.960999966,-0.41549565510168834,Wednesday,0,0,0.33349019510715316
2025-03-20,870076288.0,0,903802764.126,0,33726476.12600005,3.876266551698056,Thursday,0,0,0.3325912574412456
2025-03-21,1636349056.0,0,1928086426.595,0,291737370.595,17.828553726070044,Friday,0,0,0.4099744737719208
2025-03-22,1165224704.0,0,1298191787.1879995,0,132967083.18799949,11.411282539028583,Saturday,1,0,0.41020096693774993
2025-03-23,761813056.0,0,902717820.3079998,0,140904764.30799985,18.49597656514827,Sunday,1,0,0.4281645816353019
2025-03-24,-576908096.0,0,-1007510900.2160002,0,-430602804.2160002,74.63975756304869,Monday,0,0,0.48749073595609255
2025-03-25,-111915896.0,0,-84384138.27400023,0,27531757.725999773,-24.600399684062552,Tuesday,0,0,0.356063810852559
2025-03-26,302999040.0,0,243259458.52799988,0,-59739581.47200012,-19.716095955947623,Wednesday,0,0,0.3446662142876477
2025-03-27,431068992.0,0,334658509.0449999,0,-96410482.9550001,-22.365441436112413,Thursday,0,0,0.3484803981728073
