operator,no_of_bets,game_type,stake_real_money,stake_free_money,movement_wager_amt,movement_win_amt,is_weekend
OP_0004,1089.0,CTG_multi,16971165.37,0.0,76080040.74000001,52193182.28,0
OP_0005,3972.0,RRI_slot,4951111.49,0.0,22314072.160000004,18593896.78,0
OP_0006,810552.0,CTG_multi,2906204059.13,0.0,20602869625.280006,13214435101.976,0
OP_0007,37249.0,RRI_roulette,122856496.0,0.0,3606660486.0,3280139374.0,0
OP_0001,94.0,RRI_sports,5750073.0,0.0,11543802.0,3922052.0,0
OP_0009,145.0,RRI_sports,315500.0,0.0,0.0,0.0,0
OP_0002,10501.0,CTG_multi,25157161.0,0.0,52416590.0,34162789.68,0
OP_0010,2209.0,CTG_virtualSports,2915175.79,0.0,403447804.74,336846853.08000004,0
OP_0003,2877.0,RRI_sports,1065910.0,0.0,1118826.0,672662.65,0
OP_0004,963.0,CTG_multi,10882429.8,0.0,51151575.6,47246941.92,0
OP_0005,1241.0,RRI_slot,911060.0,0.0,11473642.119999995,7024511.48,0
OP_0006,1517064.0,CTG_multi,4886651558.92,0.0,24527202433.519997,15722272522.266,0
OP_0007,32987.0,RRI_roulette,97017090.0,0.0,3534999806.0,3121651776.0,0
OP_0001,119.0,RRI_sports,6313141.0,0.0,12854082.0,11118654.0,0
OP_0009,148.0,RRI_sports,316000.0,0.0,0.0,0.0,0
OP_0002,8082.0,CTG_multi,22147343.0,0.0,46435428.0,41119232.36,0
OP_0003,1202.0,RRI_sports,750673.0,11800.0,1731768.0,1198049.28,0
OP_0004,766.0,CTG_multi,18300336.83,0.0,38793150.83,28497976.16,0
OP_0005,1541.0,RRI_slot,1971240.24,0.0,12899065.6,9311986.14,0
OP_0006,1447449.0,CTG_multi,4436089840.46,0.0,23401642079.28,17682861895.188,0
OP_0007,29605.0,RRI_roulette,88708884.0,0.0,2297967926.0,2189119178.0,0
OP_0001,82.0,RRI_sports,6196595.0,0.0,15186590.0,9813084.0,0
OP_0009,101.0,RRI_sports,213500.0,0.0,0.0,0.0,0
OP_0002,8816.0,CTG_multi,22981125.0,0.0,50333402.0,31806880.34,0
OP_0003,3252.0,RRI_sports,783332.0,6600.0,1735132.0,1030637.48,0
OP_0004,943.0,CTG_multi,21112054.35,0.0,39896760.73,31172164.94,0
OP_0005,2376.0,RRI_slot,1725123.09,0.0,10754624.3,6569816.119999999,0
OP_0006,1172390.0,CTG_multi,4394089681.25,0.0,22302305270.9,14153685692.264,0
OP_0007,30839.0,RRI_roulette,97887075.0,0.0,3179735792.0,2923118262.0,0
OP_0001,70.0,RRI_sports,5673757.0,0.0,11681466.0,5934920.0,0
OP_0009,106.0,RRI_sports,170000.0,0.0,0.0,0.0,0
OP_0002,15428.0,CTG_multi,42703299.0,0.0,88309502.0,57523351.9,1
OP_0003,3791.0,RRI_sports,1246832.0,23700.0,2560946.0,2882928.84,1
OP_0004,1417.0,CTG_multi,12659640.77,0.0,54514811.54,39973876.98,1
OP_0005,1859.0,RRI_slot,893231.0,0.0,11059888.619999995,6109873.18,1
OP_0006,1971838.0,CTG_multi,6623257499.35,0.0,30170672832.92,20415596082.952003,1
OP_0007,33501.0,RRI_roulette,103556389.0,0.0,1840463112.0,1662882975.0,1
OP_0001,164.0,RRI_sports,7791139.0,0.0,7893201.0,4999576.0,1
OP_0009,210.0,RRI_sports,458000.0,0.0,0.0,0.0,1
OP_0002,12105.0,CTG_multi,31795462.0,0.0,67134358.0,53457119.16,1
OP_0003,3548.0,RRI_sports,837458.0,9200.0,1727424.0,1842138.24,1
OP_0004,1122.0,CTG_multi,15775614.44,0.0,61114028.08,81760165.52,1
OP_0005,2126.0,RRI_slot,1324132.02,0.0,8719778.9,4953067.7,1
OP_0006,2064681.0,CTG_multi,6800766342.65,0.0,28385554099.519993,22558351478.535995,1
OP_0007,36917.0,RRI_roulette,113783618.0,0.0,1813021993.0,1684060029.0,1
OP_0001,98.0,RRI_sports,5536029.0,0.0,6376056.0,5484322.0,1
OP_0009,172.0,RRI_sports,445500.0,0.0,0.0,0.0,1
OP_0002,6767.0,CTG_multi,16995748.0,0.0,37706446.0,42513123.06,0
OP_0003,1559.0,RRI_sports,377734.0,0.0,975768.0,2007838.84,0
OP_0004,642.0,CTG_multi,11345179.9,0.0,25490236.9,25811115.83,0
