operator,no_of_bets,game_type,stake_real_money,stake_free_money,payout_base_win,refund_total,adjustment_total,revenue_amt,movement_wager_amt,movement_win_amt,movement_refund_amt,movement_adjustment_amt,is_weekend
OP_0010,2209.0,CTG_virtualSports,2915175.79,0.0,2821279.25,0.0,0.0,93896.54,403447804.74,336846853.08000004,1554692.0,0.0,0
OP_0003,2877.0,RRI_sports,1065910.0,0.0,672662.65,0.0,0.0,393247.35,1118826.0,672662.65,0.0,0.0,0
OP_0004,963.0,CTG_multi,10882429.8,0.0,11364065.99,0.0,0.0,0.0,51151575.6,47246941.92,0.0,0.0,0
OP_0005,1241.0,RRI_slot,911060.0,0.0,794127.01,3600.0,0.0,113332.99,11473642.119999995,7024511.48,94408.2,0.0,0
OP_0006,1517064.0,CTG_multi,4886651558.92,0.0,3707232001.245,25100.0,0.0,1179394457.675,24527202433.519997,15722272522.266,4651986.56,0.0,0
OP_0007,32987.0,RRI_roulette,97017090.0,0.0,84282870.0,0.0,0.0,12734220.0,3534999806.0,3121651776.0,0.0,0.0,0
OP_0001,119.0,RRI_sports,6313141.0,0.0,5469824.0,0.0,0.0,843317.0,12854082.0,11118654.0,0.0,0.0,0
OP_0009,148.0,RRI_sports,316000.0,0.0,301621.0,0.0,0.0,14379.0,0.0,0.0,0.0,0.0,0
OP_0002,8082.0,CTG_multi,22147343.0,0.0,20559616.18,202000.0,0.0,1385726.82,46435428.0,41119232.36,404000.0,0.0,0
OP_0003,1202.0,RRI_sports,750673.0,11800.0,599024.64,0.0,0.0,163448.36,1731768.0,1198049.28,0.0,0.0,0
OP_0004,766.0,CTG_multi,18300336.83,0.0,10984388.23,0.0,0.0,0.0,38793150.83,28497976.16,0.0,0.0,0
OP_0005,1541.0,RRI_slot,1971240.24,0.0,1836565.28,49552.0,0.0,85122.96,12899065.6,9311986.14,186512.2,0.0,0
OP_0006,1447449.0,CTG_multi,4436089840.46,0.0,4803054646.741,1187.0,0.0,-366965993.281,23401642079.28,17682861895.188,69687912.94,0.0,0
OP_0007,29605.0,RRI_roulette,88708884.0,0.0,81782707.0,0.0,0.0,6926177.0,2297967926.0,2189119178.0,0.0,0.0,0
OP_0001,82.0,RRI_sports,6196595.0,0.0,3527781.0,0.0,0.0,2668814.0,15186590.0,9813084.0,0.0,0.0,0
OP_0009,101.0,RRI_sports,213500.0,0.0,60391.0,0.0,0.0,153109.0,0.0,0.0,0.0,0.0,0
OP_0002,8816.0,CTG_multi,22981125.0,0.0,15903440.17,0.0,0.0,7077684.83,50333402.0,31806880.34,0.0,0.0,0
OP_0003,3252.0,RRI_sports,783332.0,6600.0,515318.74,0.0,0.0,274613.26,1735132.0,1030637.48,0.0,0.0,0
OP_0004,943.0,CTG_multi,21112054.35,0.0,15333967.98,0.0,0.0,0.0,39896760.73,31172164.94,0.0,0.0,0
OP_0005,2376.0,RRI_slot,1725123.09,0.0,1592520.76,33706.0,0.0,98896.33,10754624.3,6569816.119999999,154620.2,0.0,0
OP_0006,1172390.0,CTG_multi,4394089681.25,0.0,2706660384.697,10037.0,0.0,1687419259.553,22302305270.9,14153685692.264,1459091.76,0.0,0
OP_0007,30839.0,RRI_roulette,97887075.0,0.0,81166532.0,0.0,0.0,16720543.0,3179735792.0,2923118262.0,0.0,0.0,0
OP_0001,70.0,RRI_sports,5673757.0,0.0,2883274.0,0.0,0.0,2790483.0,11681466.0,5934920.0,0.0,0.0,0
OP_0009,106.0,RRI_sports,170000.0,0.0,13284.0,0.0,0.0,156716.0,0.0,0.0,0.0,0.0,0
OP_0002,15428.0,CTG_multi,42703299.0,0.0,28761675.95,0.0,0.0,13941623.05,88309502.0,57523351.9,0.0,0.0,1
OP_0003,3791.0,RRI_sports,1246832.0,23700.0,1441464.42,0.0,0.0,-170932.42,2560946.0,2882928.84,0.0,0.0,1
