operator,tier,payout_base_win,predicted_payout,regression_r2,deviation_pct,anomaly_score_if,payout_z_score,no_of_bets,stake_real_money,stake_free_money,refund_total,adjustment_total,revenue_amt,movement_wager_amt,movement_win_amt,movement_refund_amt,movement_adjustment_amt,game_type,is_weekend,anomaly_flagged_by
OP_0005,noise,243121336.36,191375058.18413672,1.0,0.27039196573920415,-0.6579198333352165,41.20178962899689,242680.0,257591555.89,0.0,1197170.64,0.0,13273048.89,2299742296.939999,2252715236.4196005,7605217.48,0.0,RRI_slot,0,isolation_forest
OP_0005,noise,264516258.27,207824799.0963651,1.0,0.27278486215376047,-0.6590489683638406,44.911499248645434,258623.0,278291933.75,0.0,1294701.13,0.0,12480974.35,2424807642.099999,2376786371.4396005,8190878.460000001,0.0,RRI_slot,0,isolation_forest
OP_0005,noise,283357720.31,223504547.86615855,1.0,0.2677939801013955,-0.6636162335032336,48.17845919699473,270907.0,296988268.09,0.0,1336525.13,0.0,12294022.65,2600394793.519999,2540053398.7796006,8395426.46,0.0,RRI_slot,0,isolation_forest
OP_0005,noise,297404023.61,234450931.40275127,1.0,0.26851286890008064,-0.7000797736723512,50.61397668528974,281001.0,312195708.39,0.0,1430689.13,0.0,13360995.65,2751257208.4999986,2687528307.8596,8667554.46,0.0,RRI_slot,1,isolation_forest
OP_0005,noise,312091333.31,247215155.41472867,1.0,0.26242799631937985,-0.7096174466141557,53.16063959483655,293071.0,327012894.14,0.0,1481770.13,0.0,13439790.7,2890192824.979999,2821853276.8795996,8875016.46,0.0,RRI_slot,1,isolation_forest
OP_0005,noise,86360.0,-3895215.3208952043,1.0,0.0,-0.5833955928332507,-0.9385459845836667,5.0,23000.0,0.0,0.0,0.0,-63360.0,0.0,0.0,0.0,0.0,RRI_sports,1,isolation_forest
OP_0005,noise,328513205.81,277074212.0841704,1.0,0.185650600028426,-0.7144348998847642,56.00806192440428,301605.0,344592362.66,0.0,1551404.52,0.0,14527752.33,1519844193.82,1478672884.6997995,4549912.62,0.0,RRI_slot,0,isolation_forest
OP_0005,noise,341051314.8,280901384.9210388,1.0,0.2141318381035014,-0.6920736105468663,58.18207049186088,311898.0,358099779.47,0.0,1611404.52,0.0,15437060.15,3164445664.339999,3080926082.8396,9329225.24,0.0,RRI_slot,0,isolation_forest
OP_0005,noise,350712086.55,292278169.90942967,1.0,0.19992569632784302,-0.6952615522611472,59.85717162309954,319736.0,367928806.37,0.0,1663205.68,0.0,15553514.14,3384375620.3199997,3298926694.2395997,9709827.56,0.0,RRI_slot,0,isolation_forest
OP_0005,noise,362423869.59,299910597.40924805,1.0,0.2084396907637391,-0.7114406819714881,61.88790183045857,328628.0,379736489.9,0.0,1713138.85,0.0,15599481.46,3582008804.3399997,3472147095.1595993,9932399.9,0.0,RRI_slot,0,isolation_forest
